,equity
2021-01-14,137755275.16235343
2021-01-15,134230386.40842444
2021-01-18,132182397.87073883
2021-01-19,136762853.47403896
2021-01-20,139193001.80180848
2021-01-21,145425341.45143422
2021-01-22,139097301.36818624
2021-01-25,138514306.80926502
2021-01-26,138327210.59350985
2021-01-27,140320194.01170042
2021-01-28,134786625.82647336
2021-01-29,134370313.45885074
2021-02-01,138348176.83304906
2021-02-02,142582859.00503278
2021-02-03,149326758.98376784
2021-02-04,151201278.11958042
2021-02-05,149714003.9654448
2021-02-08,144689335.676112
2021-02-09,139717704.01833737
2021-02-10,146367224.17443332
2021-02-15,147476077.96657172
2021-02-16,143952521.821855
2021-02-17,145594128.9482644
2021-02-18,146045012.22686473
2021-02-19,149882803.70523775
2021-02-22,154931228.23888537
2021-02-23,147477901.21097428
2021-02-24,138475166.1452286
2021-02-25,138475166.1452286
2021-02-26,139513491.1115565
2021-03-02,137238018.6267048
2021-03-03,138093248.79850578
2021-03-04,136753133.40496004
2021-03-05,140889982.4084583
2021-03-08,134978283.66357166
