date,ticker,action,price,units_after,reason
2021-02-03,020150,ADD,79000.0,2,ADD_8PCT
2021-02-03,298020,BUY,442500.0,1,ENTRY
2021-02-05,530031,ADD,605.0,2,ADD_8PCT
2021-02-08,096770,SELL,276982.0,0,MA20_BREAK
2021-02-09,530031,ADD,645.0,3,ADD_16PCT
2021-02-24,020150,SELL,72500.0,0,MA20_BREAK
2021-02-24,298020,SELL,394500.0,0,MA20_BREAK
2021-02-25,213420,BUY,43900.0,1,ENTRY
2021-02-26,011200,BUY,19000.0,1,ENTRY
2021-03-04,213420,SELL,40100.0,0,MA20_BREAK
2021-03-04,010060,BUY,100922.0,1,ENTRY
2021-03-05,011200,ADD,21950.0,2,ADD_8PCT
2021-03-09,011200,SELL,20150.0,0,STOP_8PCT
2021-03-10,010060,SELL,93372.0,0,MA20_BREAK
2021-03-10,052020,BUY,9767.0,1,ENTRY
2021-03-11,298020,BUY,479000.0,1,ENTRY
2021-03-15,052020,SELL,8682.0,0,MA20_BREAK
2021-03-15,100790,BUY,8350.0,1,ENTRY
2021-03-19,530031,SELL,665.0,0,MA20_BREAK
2021-03-19,298020,ADD,546000.0,2,ADD_8PCT
2021-03-19,011200,BUY,24450.0,1,ENTRY
2021-03-22,011200,ADD,26550.0,2,ADD_8PCT
2021-03-23,011200,ADD,28450.0,3,ADD_16PCT
2021-04-15,100790,SELL,8779.0,0,MA20_BREAK
2021-04-16,298020,ADD,700000.0,3,ADD_16PCT
2021-05-13,298020,SELL,699000.0,0,MA20_BREAK
2021-05-14,051600,BUY,38700.0,1,ENTRY
2021-05-17,007390,BUY,15250.0,1,ENTRY
2021-05-20,051600,ADD,42100.0,2,ADD_8PCT
2021-05-24,007390,SELL,13850.0,0,STOP_8PCT
2021-05-28,051600,ADD,45750.0,3,ADD_16PCT
2021-06-04,011200,SELL,45400.0,0,MA20_BREAK
2021-06-04,001440,BUY,27833.0,1,ENTRY
2021-06-07,001440,ADD,36172.0,2,ADD_8PCT
2021-06-08,001440,SELL,29823.0,0,STOP_8PCT
2021-06-08,028050,BUY,21150.0,1,ENTRY
2021-06-09,145020,BUY,243000.0,1,ENTRY
2021-06-14,051600,SELL,43600.0,0,MA20_BREAK
2021-06-14,035720,BUY,142500.0,1,ENTRY
2021-06-15,007390,BUY,17500.0,1,ENTRY
2021-06-16,530031,BUY,940.0,1,ENTRY
2021-06-17,028050,ADD,23300.0,2,ADD_8PCT
2021-06-18,035720,ADD,155000.0,2,ADD_8PCT
2021-06-18,007390,ADD,21500.0,2,ADD_8PCT
2021-06-21,007390,ADD,22100.0,3,ADD_16PCT
2021-07-07,028050,SELL,23350.0,0,MA20_BREAK
2021-07-08,145020,SELL,233700.0,0,MA20_BREAK
2021-07-08,530031,SELL,955.0,0,MA20_BREAK
2021-07-16,035720,SELL,157000.0,0,MA20_BREAK
2021-07-16,103590,BUY,7024.0,1,ENTRY
2021-07-19,082920,BUY,8478.0,1,ENTRY
2021-07-27,007390,SELL,29200.0,0,MA20_BREAK
2021-07-27,103590,SELL,6353.0,0,STOP_8PCT
2021-07-27,006400,BUY,744065.0,1,ENTRY
2021-07-28,138040,BUY,24000.0,1,ENTRY
2021-07-29,086520,BUY,13922.0,1,ENTRY
2021-07-30,006400,SELL,725463.0,0,MA20_BREAK
2021-08-02,214150,BUY,23900.0,1,ENTRY
2021-08-04,041510,BUY,71900.0,1,ENTRY
2021-08-09,086520,ADD,17678.0,2,ADD_8PCT
2021-08-10,086520,ADD,18221.0,3,ADD_16PCT
2021-08-11,082920,SELL,8402.0,0,MA20_BREAK
2021-08-13,041510,SELL,65300.0,0,STOP_8PCT
2021-08-19,138040,SELL,24050.0,0,MA20_BREAK
2021-08-26,214150,SELL,24100.0,0,MA20_BREAK
2021-09-06,086520,SELL,18184.0,0,MA20_BREAK
2021-12-28,237690,BUY,144500.0,1,ENTRY
2021-12-29,007810,BUY,30900.0,1,ENTRY
2021-12-30,007660,BUY,7109.0,1,ENTRY
2022-01-03,108490,BUY,31259.0,1,ENTRY
2022-01-04,237690,SELL,130200.0,0,MA20_BREAK
2022-01-04,138040,BUY,48000.0,1,ENTRY
2022-01-05,007660,SELL,6486.0,0,STOP_8PCT
2022-01-05,307950,BUY,143500.0,1,ENTRY
2022-01-06,108490,SELL,26780.0,0,STOP_8PCT
2022-01-11,307950,SELL,129500.0,0,MA20_BREAK
2022-01-13,138040,ADD,53700.0,2,ADD_8PCT
2022-01-21,007810,SELL,28700.0,0,MA20_BREAK
2022-01-25,138040,SELL,48500.0,0,MA20_BREAK
2022-04-28,128940,BUY,303037.0,1,ENTRY
2022-04-29,069620,BUY,183000.0,1,ENTRY
2022-05-04,128940,SELL,285693.0,0,MA20_BREAK
2022-05-09,069620,SELL,171500.0,0,MA20_BREAK
2022-06-02,090710,BUY,12300.0,1,ENTRY
2022-06-03,090710,SELL,10962.0,0,STOP_8PCT
